,"6000000016F84221"
  ,Avg ,
"Date/Time","Temp"
 "m/d/y","C"
8/3/2008 3:00:00 PM,18.00 
8/3/2008 4:00:00 PM,18.00 
8/3/2008 5:00:00 PM,18.00 
8/3/2008 6:00:00 PM,17.50 
8/3/2008 7:00:00 PM,17.00 
8/3/2008 8:00:00 PM,16.50 
8/3/2008 9:00:00 PM,16.00 
8/3/2008 10:00:00 PM,16.00 
8/3/2008 11:00:00 PM,16.00 
8/4/2008 12:00:00 AM,16.00 
8/4/2008 1:00:00 AM,16.00 
8/4/2008 2:00:00 AM,16.00 
8/4/2008 3:00:00 AM,16.00 
8/4/2008 4:00:00 AM,16.00 
8/4/2008 5:00:00 AM,16.00 
8/4/2008 6:00:00 AM,16.00 
8/4/2008 7:00:00 AM,16.50 
8/4/2008 8:00:00 AM,17.00 
8/4/2008 9:00:00 AM,17.00 
8/4/2008 10:00:00 AM,17.50 
8/4/2008 11:00:00 AM,17.50 
8/4/2008 12:00:00 PM,17.50 
8/4/2008 1:00:00 PM,17.50 
8/4/2008 2:00:00 PM,17.50 
8/4/2008 3:00:00 PM,17.50 
8/4/2008 4:00:00 PM,17.50 
8/4/2008 5:00:00 PM,17.00 
8/4/2008 6:00:00 PM,17.00 
8/4/2008 7:00:00 PM,16.50 
8/4/2008 8:00:00 PM,16.50 
8/4/2008 9:00:00 PM,16.50 
8/4/2008 10:00:00 PM,16.00 
8/4/2008 11:00:00 PM,16.00 
8/5/2008 12:00:00 AM,16.00 
8/5/2008 1:00:00 AM,16.00 
8/5/2008 2:00:00 AM,16.00 
8/5/2008 3:00:00 AM,16.00 
8/5/2008 4:00:00 AM,16.00 
8/5/2008 5:00:00 AM,16.00 
8/5/2008 6:00:00 AM,16.00 
8/5/2008 7:00:00 AM,16.00 
8/5/2008 8:00:00 AM,17.00 
8/5/2008 9:00:00 AM,17.50 
8/5/2008 10:00:00 AM,17.50 
8/5/2008 11:00:00 AM,17.50 
8/5/2008 12:00:00 PM,17.50 
8/5/2008 1:00:00 PM,17.50 
8/5/2008 2:00:00 PM,17.50 
8/5/2008 3:00:00 PM,17.00 
8/5/2008 4:00:00 PM,17.00 
8/5/2008 5:00:00 PM,17.00 
8/5/2008 6:00:00 PM,17.00 
8/5/2008 7:00:00 PM,16.50 
8/5/2008 8:00:00 PM,16.50 
8/5/2008 9:00:00 PM,16.50 
8/5/2008 10:00:00 PM,16.50 
8/5/2008 11:00:00 PM,16.00 
8/6/2008 12:00:00 AM,16.00 
8/6/2008 1:00:00 AM,16.00 
8/6/2008 2:00:00 AM,16.00 
8/6/2008 3:00:00 AM,16.00 
8/6/2008 4:00:00 AM,16.00 
8/6/2008 5:00:00 AM,16.00 
8/6/2008 6:00:00 AM,16.00 
8/6/2008 7:00:00 AM,16.50 
8/6/2008 8:00:00 AM,17.00 
8/6/2008 9:00:00 AM,17.50 
8/6/2008 10:00:00 AM,17.50 
8/6/2008 11:00:00 AM,17.50 
8/6/2008 12:00:00 PM,18.00 
8/6/2008 1:00:00 PM,18.00 
8/6/2008 2:00:00 PM,18.00 
8/6/2008 3:00:00 PM,18.00 
8/6/2008 4:00:00 PM,18.50 
8/6/2008 5:00:00 PM,18.50 
8/6/2008 6:00:00 PM,18.00 
8/6/2008 7:00:00 PM,17.50 
8/6/2008 8:00:00 PM,17.00 
8/6/2008 9:00:00 PM,17.00 
8/6/2008 10:00:00 PM,16.50 
8/6/2008 11:00:00 PM,16.50 
8/7/2008 12:00:00 AM,16.50 
8/7/2008 1:00:00 AM,16.50 
8/7/2008 2:00:00 AM,16.50 
8/7/2008 3:00:00 AM,16.50 
8/7/2008 4:00:00 AM,16.00 
8/7/2008 5:00:00 AM,16.00 
8/7/2008 6:00:00 AM,16.00 
8/7/2008 7:00:00 AM,16.50 
8/7/2008 8:00:00 AM,17.50 
8/7/2008 9:00:00 AM,17.50 
8/7/2008 10:00:00 AM,17.50 
8/7/2008 11:00:00 AM,18.00 
8/7/2008 12:00:00 PM,17.50 
8/7/2008 1:00:00 PM,17.50 
8/7/2008 2:00:00 PM,17.50 
8/7/2008 3:00:00 PM,17.00 
8/7/2008 4:00:00 PM,17.50 
8/7/2008 5:00:00 PM,17.50 
8/7/2008 6:00:00 PM,17.00 
8/7/2008 7:00:00 PM,16.50 
8/7/2008 8:00:00 PM,16.50 
8/7/2008 9:00:00 PM,16.50 
8/7/2008 10:00:00 PM,16.50 
8/7/2008 11:00:00 PM,16.50 
8/8/2008 12:00:00 AM,16.00 
8/8/2008 1:00:00 AM,16.00 
8/8/2008 2:00:00 AM,16.00 
8/8/2008 3:00:00 AM,16.00 
8/8/2008 4:00:00 AM,16.00 
8/8/2008 5:00:00 AM,16.00 
8/8/2008 6:00:00 AM,16.00 
8/8/2008 7:00:00 AM,16.50 
8/8/2008 8:00:00 AM,17.00 
8/8/2008 9:00:00 AM,17.50 
8/8/2008 10:00:00 AM,17.50 
8/8/2008 11:00:00 AM,17.50 
8/8/2008 12:00:00 PM,18.00 
8/8/2008 1:00:00 PM,18.50 
8/8/2008 2:00:00 PM,18.50 
8/8/2008 3:00:00 PM,18.50 
8/8/2008 4:00:00 PM,18.50 
8/8/2008 5:00:00 PM,18.00 
8/8/2008 6:00:00 PM,17.00 
8/8/2008 7:00:00 PM,16.50 
8/8/2008 8:00:00 PM,16.50 
8/8/2008 9:00:00 PM,16.50 
8/8/2008 10:00:00 PM,16.50 
8/8/2008 11:00:00 PM,16.00 
8/9/2008 12:00:00 AM,16.00 
8/9/2008 1:00:00 AM,16.00 
8/9/2008 2:00:00 AM,16.00 
8/9/2008 3:00:00 AM,16.00 
8/9/2008 4:00:00 AM,16.00 
8/9/2008 5:00:00 AM,16.00 
8/9/2008 6:00:00 AM,16.00 
8/9/2008 7:00:00 AM,16.50 
8/9/2008 8:00:00 AM,17.00 
8/9/2008 9:00:00 AM,17.50 
8/9/2008 10:00:00 AM,17.50 
8/9/2008 11:00:00 AM,17.50 
8/9/2008 12:00:00 PM,17.50 
